,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021
12:01:43 AM,-0.00030535,-0.00026245,-0.00024685,-0.00018835,-0.00034435,-0.00020785,-0.00028585
12:06:43 AM,-0.00026635,-0.00030535,-0.00029755,-0.00025465,-0.00021955,-0.00028195,-0.00029365
12:11:39 AM,-0.00030925,-0.00024685,-0.00029365,-0.00028585,-0.00027805,-0.00028975,-0.00026635
12:16:40 AM,-0.00022345,-0.00021955,-0.00027025,-0.00028195,-0.00032485,-0.00021955,-0.00033265
12:21:40 AM,-0.00018835,0.00031865,-0.00020785,0.00020555,-0.00023905,-0.00027805,-0.00027025
12:26:41 AM,-0.00025465,-0.00022735,-0.00027415,-0.00034435,-0.00027025,-0.00025855,-0.00032095
12:31:41 AM,-0.00025855,0.00028745,-0.00023125,-0.00027025,-0.00025465,-0.00032095,-0.00028195
12:36:42 AM,-0.00022735,-0.00025855,-0.00023125,-0.00021955,-0.00018445,-0.00022345,-0.00021955
12:41:42 AM,0.00024065,-0.00028585,-0.00032875,-0.00030535,-0.00028585,-0.00025465,-0.00024685
12:46:43 AM,0.00025625,0.00020165,-0.00030925,-0.00027415,-0.00026245,-0.00028195,-0.00030925
12:51:44 AM,-0.00021955,-0.00020395,-0.00024685,0.00032645,-0.00033655,-0.00027025,-0.00030145
12:56:39 AM,-0.00019225,-0.00023515,-0.00030925,-0.00030925,-0.00029755,-0.00022345,-0.00022735
1:01:40 AM,0.00020165,-0.00030925,-0.00025075,-0.00024295,-0.00021175,-0.00024685,-0.00023905
1:06:40 AM,0.00022115,-0.00024685,-0.00025465,-0.00025465,-0.00034045,-0.00032485,-0.00025465
1:11:41 AM,0.00022505,-0.00037945,-0.00026245,-0.00022735,-0.00029755,-0.00027025,-0.00024295
1:16:42 AM,-0.00024295,0.00022895,-0.00029365,-0.00025855,-0.00027805,-0.00021955,-0.00032095
1:21:42 AM,0.00020165,-0.00028195,0.00023285,-0.00023905,-0.00020005,-0.00021175,-0.00025465
1:26:43 AM,0.00024065,-0.00030535,-0.00021955,-0.00029365,-0.00025075,-0.00023905,-0.00027025
1:31:43 AM,0.00031085,-0.00022735,-0.00027025,-0.00028195,-0.00027415,-0.00032095,-0.00025855
1:36:44 AM,-0.00024685,-0.00024685,-0.00029365,-0.00023515,-0.00033265,-0.00026245,-0.00032095
1:41:40 AM,-0.00022345,0.00022505,-0.00025855,-0.00029365,-0.00028975,-0.00023905,-0.00030925
1:46:40 AM,0.00025235,0.00022115,-0.00031315,-0.00031705,-0.00022735,-0.00020005,-0.00022735
1:51:41 AM,-0.00028975,-0.00026635,-0.00029365,-0.00028975,-0.00023515,-0.00027415,-0.00028195
1:56:41 AM,-0.00026635,0.00017825,-0.00031705,-0.00020395,-0.00025465,-0.00021175,-0.00023905
2:01:42 AM,0.00020945,-0.00028975,-0.00027415,-0.00021565,-0.00025075,-0.00034045,-0.00027415
2:06:42 AM,0.00024455,-0.00027805,-0.00023905,-0.00026635,-0.00023905,-0.00024685,-0.00030925
2:11:43 AM,0.00025625,0.00030695,-0.00024685,-0.00029365,-0.00031315,-0.00023125,-0.00034825
2:16:44 AM,-0.00021565,-0.00028585,-0.00029365,-0.00031705,-0.00033655,-0.00026245,-0.00023905
2:21:44 AM,-0.00020005,-0.00024295,-0.00027025,-0.00027415,-0.00032095,-0.00039895,-0.00028195
2:26:45 AM,-0.00027025,-0.00023515,-0.00030145,-0.00024295,-0.00025465,-0.00029755,-0.00023905
2:31:40 AM,-0.00026245,-0.00023515,-0.00023905,-0.00025465,-0.00033265,-0.00023125,-0.00030145
2:36:41 AM,-0.00021565,-0.00033265,0.00023675,-0.00031705,-0.00029755,-0.00025465,-0.00030535
2:41:42 AM,0.00023285,-0.00031705,-0.00025855,-0.00022735,-0.00023905,-0.00022735,-0.00027415
2:46:42 AM,0.00024845,-0.00030535,-0.00031315,-0.00023905,-0.00032875,-0.00032095,-0.00021565
2:51:43 AM,0.00026015,-0.00027805,-0.00030925,-0.00021175,-0.00031705,-0.00039115,-0.00030145
