Legend,,,
Dataset,FLOOR/STOREY,number of floors,height (m)
1,10,24,122 
2,24,24,122
3,-3,24,122
,,,
Total floor area ,42816,square meter,
Building Type,Office building,,
Number of storeys,24,,
Year Built,1997,,
City,Mandaluyong,,
Structural Framing,Dual system,,
,,,
NOTES:,,,
"If the floor is negative, then it is the basement number, signifying the datum is the groundfloor.",,,
Dual system means it has shear walls for elevator shafts and a beam-column configuration for structural system.,,,
This building is made from steel with precast concrete floorings.,,,
